CODUFMUN;REC;TENT_y
410040;78;168
410100;0;3
410105;12;42
410120;3;9
410140;260;690
410150;61;105
410160;111;198
410180;3396;7680
410200;6;16
410210;18;58
410260;6;20
410275;0;1
410300;3;5
410320;8;12
410322;10;28
410345;32;56
410360;6;11
410370;1476;2808
410380;4;18
410400;231;432
410430;2;3
410442;0;1
410465;3;3
410480;14232;25872
410490;1298;3300
410530;7;16
410540;930;1940
410550;2184;4584
410560;1;4
410580;140;640
410590;196;623
410630;24;56
410650;126;1008
410660;1;1
410690;45636;90540
410720;7;18
410760;1;1
410765;1100;2497
410830;138;336
410840;24;100
410870;0;1
410880;16;40
410940;1212;7236
410960;8;8
410965;20;34
410975;0;4
410980;74;198
411020;1;4
411040;4;14
411050;44;88
411080;8;14
411120;891;1551
411140;72;198
411150;39;117
411190;1;1
411200;385;987
411210;16;24
411275;0;1
411300;1;9
411370;936;1566
411390;15;120
411420;100;340
411440;24;111
411460;51;114
411470;1;2
411480;900;1950
411520;13884;29904
411530;2;4
411540;4;14
411560;72;198
411570;264;2388
411580;360;750
411605;133;378
411670;55;225
411705;3;18
411727;10;50
411745;2;4
411760;50;132
411770;144;303
411790;11;37
411845;0;1
411850;1344;3297
411860;0;2
411915;170;380
411930;4;16
411940;28;44
411980;2;4
411990;6912;16044
411995;6;8
412060;3;18
412070;0;1
412150;44;68
412200;27;114
412380;4;12
412382;6;12
412402;36;102
412480;104;292
412500;24;54
412510;7;20
412550;3960;9072
412560;105;215
412570;639;1278
412580;12;21
412600;9;27
412620;2;5
412625;2604;6288
412627;8;34
412630;48;99
412640;0;8
412660;0;2
412667;9;90
412680;4;16
412710;1016;1904
412720;15;58
412740;14;22
412750;5;10
412760;1;4
412770;2436;5340
412785;252;648
412790;6;27
412800;4;11
412855;7;13
412870;1;3
